,statename,fatals
0,Alabama,9993
1,Alaska,750
2,Arizona,9919
3,Arkansas,5955
4,California,37183
5,Colorado,5995
6,Connecticut,3031
7,Delaware,1265
8,District of Columbia,280
9,Florida,31053
10,Georgia,15198
11,Hawaii,1165
12,Idaho,2346
13,Illinois,11120
14,Indiana,8944
15,Iowa,3798
16,Kansas,4443
17,Kentucky,8149
18,Louisiana,8172
19,Maine,1682
20,Maryland,5613
21,Massachusetts,3921
22,Michigan,10729
23,Minnesota,4222
24,Mississippi,7179
25,Missouri,9494
26,Montana,2202
27,Nebraska,2422
28,Nevada,3237
29,New Hampshire,1260
30,New Jersey,6362
31,New Mexico,4060
32,New York,11922
33,North Carolina,15095
34,North Dakota,1371
35,Ohio,12085
36,Oklahoma,7356
37,Oregon,4541
38,Pennsylvania,13228
39,Puerto Rico,3433
40,Rhode Island,676
41,South Carolina,10184
42,South Dakota,1407
43,Tennessee,11358
44,Texas,38662
45,Utah,2805
46,Vermont,681
47,Virginia,8577
48,Washington,5537
49,West Virginia,3258
50,Wisconsin,6374
51,Wyoming,1415
